product_id,product_loaded_at,product_category,product_created_at,prodcut_updated_at,product_title,variant_id,variant_sku,variant_title,variant_created_at,variant_updated_at,variant_option1,variant_option2
6660776558651,11/30/2021 1:31:16,Bath,9/22/2021 13:50:15,11/30/2021 1:23:06,Natural Plush Bath Sheet Set,39645995597883,TSHTBUNDLENU,Natural,9/22/2021 13:50:16,11/30/2021 1:18:51,,
7181826305,11/29/2019 15:36:36,Baby,7/29/2016 19:13:07,11/29/2019 15:00:40,Baby Signature Gift Set,2827340087309,BBUNDLEHRPCW,Petal Herringbone,1/4/2018 15:22:21,11/29/2019 13:35:10,,
7181826305,10/23/2019 19:05:58,Baby,7/29/2016 19:13:07,10/23/2019 18:56:10,Baby Signature Gift Set,44961393101,BBUNDLECNSCW,Sky,9/27/2017 16:45:18,10/23/2019 18:04:14,,
10780020685,1/21/2020 7:36:00,Baby,9/25/2017 18:00:01,1/21/2020 7:14:00,Baby Blanket,44773538381,LTHWBYKNTNPK,Petal,9/25/2017 18:00:01,1/20/2020 19:14:29,,
6294583361,6/22/2022 14:05:40,Throw Blankets,5/18/2016 10:34:47,6/22/2022 13:53:36,Cable Knit Throw Blanket,19433753793,LTHWNAKNTNNU,Natural,5/18/2016 10:34:47,5/25/2022 1:35:13,,
1623483711547,7/21/2021 6:35:41,Protectors,9/25/2018 15:15:57,7/21/2021 6:06:05,Pillow Protector,31414578872379,PPPSSWTSD,Standard,1/2/2020 15:45:47,7/21/2021 6:06:05,,
1623483711547,5/30/2021 14:02:36,Protectors,9/25/2018 15:15:57,5/30/2021 13:46:36,Pillow Protector,15238719111227,WGPPWTKING,K,9/25/2018 15:16:22,5/10/2021 16:14:07,,
1623483711547,3/12/2021 15:38:54,Protectors,9/25/2018 15:15:57,3/12/2021 15:01:45,Pillow Protector,15238719111227,WGPPWTKING,K,9/25/2018 15:16:22,2/6/2021 19:08:55,,
2334722883643,12/23/2020 20:01:09,Duvet Inserts,9/3/2019 17:04:50,12/23/2020 19:55:30,Down Alternative Duvet Insert,21374895358011,DIPLBBKING,King/Cal. King,9/3/2019 17:04:50,12/23/2020 19:50:12,,
2334722883643,10/5/2020 14:37:27,Duvet Inserts,9/3/2019 17:04:50,10/5/2020 14:20:21,Down Alternative Duvet Insert,21374895358011,DIPLBBKING,King/Cal. King,9/3/2019 17:04:50,10/5/2020 12:00:40,,
10667243405,10/29/2021 21:00:51,Throw Blankets,9/13/2017 18:48:47,10/29/2021 20:55:13,Sweater Knit Throw Blanket,39510915416123,HTBOTCKTRWHSTOS,Heathered Stone,6/28/2021 20:12:48,10/29/2021 2:35:52,,
10667243405,5/6/2021 15:37:17,Throw Blankets,9/13/2017 18:48:47,5/6/2021 15:27:53,Sweater Knit Throw Blanket,30253087555643,ATBCHRO,Red,9/25/2019 18:51:34,4/15/2021 13:08:05,,
5098744447035,9/20/2021 15:07:10,Sheet Sets,1/18/2021 22:26:19,9/20/2021 14:53:10,Percale Simple Stripe Sheet Set,34410294083643,SSSKYDSTRWP,Pewter / Split King,1/18/2021 22:26:22,9/18/2021 19:43:11,,
5098744447035,9/3/2021 20:38:32,Sheet Sets,1/18/2021 22:26:19,9/3/2021 20:09:01,Percale Simple Stripe Sheet Set,34410294083643,SSSKYDSTRWP,Pewter / Split King,1/18/2021 22:26:22,8/28/2021 18:34:56,,
5098744447035,9/19/2021 19:36:51,Sheet Sets,1/18/2021 22:26:19,9/19/2021 19:05:29,Percale Simple Stripe Sheet Set,34410294837307,SSCKYDSTRWD,Dune / California King,1/18/2021 22:26:22,9/13/2021 19:11:15,,
