web_event_id,loaded_at,cookie_id,customer_id,event_name,event_url,event_properties,timestamp,utm_campaign,utm_source,utm_medium
ajs-972feccc18e632f6d633b9f53d680d0a,8/3/2022 9:19:10,d914d032-0d9e-41dd-844d-592d94d66f98,5770391519291,email_sign_up,,,8/3/2022 8:20:43,g|search|brand|core|desktop|exact,google,cpc
ajs-78dc88dc9af1f5ac38ea45efa221f9b4,8/7/2022 17:19:23,2654769a-5639-4818-b779-09d036a3c2f5,5774904983611,email_sign_up,,,8/7/2022 16:18:19,Boll&Branch_Prospecting_May2022_CreativeTesting_Brand,Facebook,Social
ajs-bc363cf9b5c30092dd0eea3a24255516,8/3/2022 2:19:39,7c0fa2b7-3f1c-42fa-aef6-58a9c22f8259,5770137468987,email_sign_up,,,8/3/2022 0:35:04,b|search|brand|plus|desktop|bmm,bing,cpc
ajs-60d8da000a6b1748d21bfc718fe4b1b8,8/4/2022 19:19:24,4bccf19c-ae2c-472f-8268-494580b6eefb,5771783176251,email_sign_up,,,8/4/2022 18:34:18,,,
ajs-d4802e96ebce37bfc0ad0494398e54e7,8/8/2022 18:19:25,b7f00dd2-59cd-48f4-bad2-5405d8bba250,5775909552187,email_sign_up,,,8/8/2022 16:53:08,,,
ajs-a9ad0ebe309b12504c8e3341951daa84,8/22/2022 5:19:10,c6576881-9ee3-4e4a-b8cb-d110cc2d02e9,3959405772859,email_sign_up,,,8/22/2022 4:57:42,,,
ajs-8a619d6d6909ddcdc58f4a6755dab40e,8/17/2022 18:19:27,563cb166-e751-4af9-93c4-98a91f484f0b,5785294569531,email_sign_up,,,8/17/2022 17:38:06,,,
ajs-238d02d64aa20f7029d7fc9cd8ccfbdf,8/14/2022 5:19:27,7a2f0a3b-1919-4b57-8504-9b34970a0a99,5781909733435,email_sign_up,,,8/14/2022 4:10:34,177862,pepperjam,affiliate
ajs-5f074e632fabfd18fff64beacf9a2442,8/26/2022 4:19:26,3897b621-3ca6-449c-a8b2-a8c66ca512a4,5794978955323,email_sign_up,,,8/26/2022 3:19:07,,,
ajs-23fb661eff90926169d7167e7733137f,8/5/2022 0:19:25,7e47d868-5da4-4265-af66-5fc8d5767a2d,5649585537083,email_sign_up,,,8/4/2022 22:52:17,b|search|brand|plus|desktop|bmm,bing,cpc
ajs-9107eedf4eb2f644df4e243a5ccb7f6b,8/10/2022 0:38:32,a71ec864-83b0-4d17-80e1-a8ab40c01fe6,6488987085,email_sign_up,,,8/10/2022 0:10:10,g|search|brand|core|desktop|exact,google,cpc
ajs-a5f79d9fc47b55a0c60cfe6a703b3a0c,8/23/2022 23:19:09,374668e1-ba7d-4dd2-aeea-a280db85a3e9,5791925141563,email_sign_up,,,8/23/2022 22:30:19,g|search|nonbrand|core|sheets|desktop|bmm,google,cpc
ajs-e8e2c4c8bb08332f6e75ac24bfc16e67,8/29/2022 0:19:25,1f2b52f2-ae92-411d-912c-7ac214610ba9,5798568427579,email_sign_up,,,8/28/2022 23:45:41,,,
ajs-086b9609ce19553e52b9ffa2b62d70c4,8/15/2022 13:19:08,07139501-1cd9-4834-abf7-0431378e3682,5783090528315,email_sign_up,,,8/15/2022 12:23:35,,,
ajs-ead920ca4f9656455408cafad857f047,8/11/2022 5:19:24,e09991c2-b8d0-4964-b465-af43b2b7bdd2,2601421209659,email_sign_up,,,8/11/2022 4:30:29,,,
ajs-8aa503614ea659f544072f3a9d6210e6,8/26/2022 1:19:27,4841714f-1e9d-4dda-9f08-db06c5936142,3951947808827,email_sign_up,,,8/26/2022 0:32:12,,,
ajs-9ac034c4570b4ee2feaa966392ca834a,8/4/2022 1:19:25,b8178e78-7874-4297-8630-fd9ec8cd5190,5771092197435,email_sign_up,,,8/3/2022 23:33:58,g|search|brand|plus|desktop|exact,google,cpc
ajs-ded680fba13cb6b782bd53ab142815b9,8/17/2022 19:19:27,8efc6b71-dc5a-438d-b0e8-c28c1bda20cd,3421518561339,email_sign_up,,,8/17/2022 18:12:32,,,
ajs-9ddbc2083da93fe1824f39a2e8c490e0,8/31/2022 20:19:27,5529a765-3e20-4241-b024-4bc56a30b9bd,1504625131579,email_sign_up,,,8/31/2022 19:57:28,,,
ajs-f979c35087f3510f0634c187f915de98,8/6/2022 19:19:24,8ced9518-1f8a-499a-9513-58e1354e7eb1,5334781362235,email_sign_up,,,8/6/2022 18:14:25,,,
ajs-a1c809b8e821afeab7abd5735a179ec4,8/24/2022 15:19:25,31b2f5df-14b1-4fc9-9921-2bd977df30a0,5792559169595,email_sign_up,,,8/24/2022 13:33:06,,,
ajs-4985f46c3bb05f37d3fe0d369fa3729f,8/27/2022 15:19:26,f6bcef1c-a1bd-4eb7-b6f3-a1b46df9daab,5605270454331,email_sign_up,,,8/27/2022 14:07:12,BLST_EML_2022.08.27_PF_Long_signature-collection-Leads-2-9AM,Iterable,email
ajs-9d2dbb631ee0a00adbff26078a2c7b77,8/6/2022 22:19:27,f8173272-0f08-4873-bb5e-ccaf85374465,5774244741179,email_sign_up,,,8/6/2022 21:15:11,,,
ajs-a7b84509ad891c6486912af9f57fac31,8/9/2022 17:19:27,03659844-3759-467a-b981-94ab572375d2,5773271072827,email_sign_up,,,8/9/2022 16:44:10,,,
ajs-f779f0aecd55d3e800e9792d01a67d5b,8/15/2022 23:19:28,f89d0962-ace1-4767-bea3-3dfe107690df,3474411323451,email_sign_up,,,8/15/2022 22:48:59,,,
ajs-50085a7e47097c4c3f4e5c63cdb20cb9,8/11/2022 22:19:26,d2b73137-69e3-474b-b8a4-f752f406ebd3,5779500662843,email_sign_up,,,8/11/2022 21:00:13,,,
ajs-0174af7c5e663d384c59ebdd716faee4,8/10/2022 5:19:09,2a5c7ff3-25ed-4649-b232-789208d93f4f,5777791582267,email_sign_up,,,8/10/2022 4:55:18,,,
ajs-1a2647ad4bda0209f080a573a5311169,8/28/2022 18:19:28,0a7781a3-5bd6-460d-8acb-0882b687479b,3841568735291,email_sign_up,,,8/28/2022 17:47:52,,,
ajs-38dbec32a65cb390b1fdcbd0e9c78ee8,8/18/2022 12:19:11,c756a745-f7f5-4f1f-86fc-28ee78121303,5785924829243,email_sign_up,,,8/18/2022 11:50:29,g|search|nonbrand|core|sheets|desktop|bmm,google,cpc
ajs-f759ba2b7df5dcb70e709abf67336735,8/15/2022 12:19:09,0449243a-b1f6-4729-9654-b6458a85d987,5539178053691,email_sign_up,,,8/15/2022 10:57:01,,,
ajs-1ac1d29ba935624949e8e44a773b3fb7,8/9/2022 17:19:27,a2a7d25e-4176-471d-9284-203de18cbfd1,236524404749,email_sign_up,,,8/9/2022 15:36:48,BLST_EML_2022.08.09_PF_Collect_duvet-inserts-Segment-1-9AM,Iterable,email
ajs-c89870dd3dd819b726c5aedfc29e6448,8/18/2022 0:19:25,e213ee14-d766-44cd-83e2-190688b57ec0,5785548619835,email_sign_up,,,8/17/2022 23:27:09,,,
ajs-015ab592a68e0777160ef3703de695ff,8/24/2022 19:19:25,d6c3bacb-6c28-4f52-ba26-f1747c8e37ea,5430309322811,email_sign_up,,,8/24/2022 18:33:38,,,
ajs-1bb06f5cc17b34af071e2a2216d90e09,8/21/2022 13:19:10,3ea559a0-cf62-4315-a13b-a606ff273940,5789103718459,email_sign_up,,,8/21/2022 12:10:54,,,
ajs-a13eefb50ec9c09110140fa7774ea542,8/5/2022 15:19:25,77054219-29e1-4142-b4ac-2cfa0556b98d,3762958663739,email_sign_up,,,8/5/2022 14:38:54,BLST_EML_2022.08.02_PF_Collect_Hero-gif-bath-Segment-4,Iterable,email
ajs-54b6d10c57aa58847fa868a503f02dca,8/28/2022 16:19:27,bb22964f-6788-460b-89d3-14a5b0eb2f01,5798133727291,email_sign_up,,,8/28/2022 15:22:45,,,
ajs-5a2e75b1ff8cba626b5ddc413f9b455a,8/1/2022 23:19:24,27305e7f-a96e-480c-8148-687e7e659045,5769034530875,email_sign_up,,,8/1/2022 22:18:23,g|search|brand|core|desktop|exact,google,cpc
ajs-ef4f3cfaa7214b4ea056086e1b6708ba,8/21/2022 23:19:25,c0e4dc8b-d466-4426-b0a0-b34993c52220,5789588979771,email_sign_up,,,8/21/2022 22:38:20,120661,pepperjam,affiliate
ajs-edc71dd728eae2824737d803c5912681,8/14/2022 16:19:24,9a251f8b-734b-48fa-88c0-0af14ccfe675,5782244786235,email_sign_up,,,8/14/2022 14:51:57,Boll&Branch_Prospecting_April2022_Broad+Lookalike_Influencer,Facebook,Social
ajs-c2568e7289f32e4d64d71516ec3e7c64,8/8/2022 4:19:25,96f2f027-a9f0-4051-98db-88f89369cf47,5775430320187,email_sign_up,,,8/8/2022 3:26:17,,,
ajs-e3b59300f435bfc54716910291c901ba,8/21/2022 18:19:26,9b6f740b-e60d-42df-8316-233ce7a37180,5789336502331,email_sign_up,,,8/21/2022 17:24:16,,,
ajs-059ee3bc9386a228e35934f022d00996,8/27/2022 23:19:25,4d7363f8-12c7-4a95-9d86-131c228783dc,5797269897275,email_sign_up,,,8/27/2022 22:46:05,,,
ajs-51355b675b5a4e4e81d724d03b843a90,8/9/2022 23:19:27,eee31900-80ba-44eb-ac69-7c220cb8efde,5777477369915,email_sign_up,,,8/9/2022 21:34:57,,,
ajs-7804b9ccb0ba7352553beafb36b90435,8/29/2022 3:19:25,6b8f349a-663c-4de5-9f8d-6eef6c92a755,5798696714299,email_sign_up,,,8/29/2022 2:28:11,,,
ajs-1fb62d6608d9ddd33b96b067a238c158,8/18/2022 13:19:10,d1c53a6c-0b40-4bc3-a958-333eb6dbbcc2,5785712656443,email_sign_up,,,8/18/2022 11:58:09,,,
ajs-109a477de28d50e13499685a583c23e8,8/19/2022 19:19:24,58711161-5ed9-4eb9-a1d5-01cea456139c,5787239284795,email_sign_up,,,8/19/2022 18:00:42,,,
ajs-b8453e578167832dfb74a868b7bcc8bb,8/3/2022 23:19:38,d01845ee-36ef-4d50-8d01-e99a29561cd4,1590569336891,email_sign_up,,,8/3/2022 22:08:58,,,
ajs-3b88dcf9f2bace1da2a5fdb6152d43c4,8/5/2022 2:19:26,548fdc39-41bf-4472-829a-e82d71bc4af4,5772522258491,email_sign_up,,,8/5/2022 1:05:23,g|search|brand|core|desktop|exact,google,cpc
